IDs;Word;ARPA Pron;Real Word Flag;Joy;Sadness;Anger;Disgust;Fear;Surprise
0;afraid;ah f r ey d;1;0.3125;0.8333;0.3333;0.1875;0.6875;0.3333
1;alse;ae l s;0;0.6875;0.4375;0.5625;0.4792;0.4375;0.5625
2;apache;ah p ae ch iy;1;0.2917;0.6458;0.7708;0.4792;0.5;0.5833
3;aphid;ae f ih d;1;0.3333;0.625;0.4792;0.5625;0.6042;0.3125
4;bale;b ey l;1;0.5;0.5208;0.4167;0.3542;0.4583;0.0833
5;bange;b ae n jh;0;0.375;0.4375;0.6458;0.6042;0.7917;0.75
6;battle;b ae t ah l;1;0.1667;1.0;0.9583;0.7083;0.7292;0.5417
7;bias;b ay ah s;1;0.2292;0.5625;0.5625;0.4167;0.5417;0.4375
8;bizarre;b ah z aa r;1;0.4583;0.625;0.6042;0.5417;0.4792;0.5833
9;bleve;b l iy v;0;0.4792;0.4167;0.3125;0.375;0.4167;0.5417
10;blidge;b l ih jh;0;0.6042;0.4375;0.7083;0.4583;0.6042;0.7292
11;blister;b l ih s t er;1;0.4375;0.625;0.4375;0.625;0.7083;0.4583
12;blour;b l aw r;0;0.4583;0.5833;0.4375;0.4167;0.3125;0.6042
13;blurnt;b l er n t;0;0.5;0.4375;0.3542;0.3958;0.3958;0.5
14;blusp;b l ah s p;0;0.5417;0.5417;0.6458;0.5208;0.4583;0.4792
15;boarse;b ow r s;0;0.2708;0.6875;0.7708;0.8542;0.8542;0.5417
16;boil;b oy l;1;0.2708;0.75;0.75;0.3958;0.3958;0.3333
17;bowels;b aw ah l z;1;0.0833;0.5208;0.4792;0.8333;0.5;0.4583
18;break;b r ey k;1;0.6875;0.7917;0.6458;0.3125;0.2917;0.4792
19;broil;b r oy l;1;0.25;0.7083;0.875;0.75;0.7917;0.3333
20;broin;b r oy n;0;0.375;0.6458;0.8125;0.5833;0.6875;0.5208
21;brurb;b r er b;0;0.6875;0.2917;0.1458;0.2083;0.2083;0.4167
22;cav;k ae v;0;0.5938;0.3958;0.3854;0.3125;0.4792;0.5729
23;cheff;ch eh f;0;0.5417;0.4583;0.4583;0.5;0.5833;0.2917
24;cheil;ch ey l;0;0.7292;0.3542;0.4792;0.375;0.3958;0.4792
25;chirp;ch er p;1;0.8125;0.0;0.2292;0.1042;0.125;0.5833
26;choff;ch aa f;0;0.6667;0.4375;0.5417;0.5833;0.3333;0.4792
27;choign;ch oy n;0;0.7083;0.25;0.4375;0.3958;0.3958;0.6667
28;chuick;ch uw k;0;0.7917;0.3333;0.4792;0.5625;0.3542;0.3542
29;chuile;ch uw l;0;0.6042;0.1875;0.3125;0.1875;0.25;0.4375
30;chymn;ch ih m;0;0.6458;0.375;0.375;0.1875;0.5;0.5417
31;cisp;s ih s p;0;0.5833;0.5833;0.2917;0.5208;0.5;0.625
32;cliege;k l iy jh;0;0.4792;0.4375;0.6042;0.3958;0.5208;0.7292
33;cocaine;k ow k ey n;1;0.7292;0.3125;0.6667;0.7083;0.625;0.3542
34;crocodile;k r aa k ah d ay l;1;0.3958;0.5417;0.5625;0.4792;0.8125;0.4583
35;croose;k r uw s;0;0.4583;0.6667;0.4583;0.3542;0.4167;0.3958
