,angry_Anger,enraged_Anger,irate_Anger,furious_Anger,mad_Anger,outraged_Anger,livid_Anger,infuriate_Anger,wrathful_Anger,disgusted_Disgust,sick_Disgust,nauseated_Disgust,repelled_Disgust,repulsed_Disgust,revolted_Disgust,displeased_Disgust,afraid_Fear,scared_Fear,frightened _Fear,terrified_Fear,fearful_Fear,alarmed_Fear,worried_Fear,spooked_Fear,happy_Joy,delighted_Joy,pleased_Joy,glad_Joy,satisfied_Joy,joyful_Joy,cheerful_Joy,smiling_Joy,thrilled_Joy,unhappy_Sadness,heartbroken_Sadness,depressed_Sadness,miserable_Sadness,melancholy_Sadness,sorrowful_Sadness,gloomy_Sadness,depressing_Sadness,surprised_Surprise,dumfounded_Surprise,amazed_Surprise,astonished_Surprise,astounded_Surprise,wondering_Surprise,awed_Surprise,flabbergasted_Surprise,stunned_Surprise
alse,0.8593786954879761,0.8579503297805786,0.8926683664321899,0.8661310076713562,0.8754743933677673,0.87540602684021,0.8962903618812561,0.8814536333084106,0.8463613986968994,0.8796197772026062,0.9121023416519165,0.9048407077789307,0.8703848123550415,0.9002816081047058,0.8798313140869141,0.8450744152069092,0.859801173210144,0.8805335760116577,0.8664419651031494,0.8515229225158691,0.8561282157897949,0.9028526544570923,0.85140061378479,0.8606507778167725,0.8891609907150269,0.8884804248809814,0.8848570585250854,0.8745535016059875,0.8823944330215454,0.8567934036254883,0.8484803438186646,0.8083639144897461,0.8871136903762817,0.8552989959716797,0.881558895111084,0.8836677670478821,0.84531569480896,0.8328371047973633,0.8614851236343384,0.8047493696212769,0.8693397045135498,0.8356717824935913,0.8689147233963013,0.8911842107772827,0.9002084732055664,0.9027878046035767,0.836906909942627,0.9237978458404541,0.9112616777420044,0.8682388067245483
bange,0.8986817598342896,0.8949363231658936,0.9104924201965332,0.8890351057052612,0.8821988105773926,0.8945703506469727,0.9126068353652954,0.9073376655578613,0.877417802810669,0.8910343647003174,0.9271907806396484,0.9165987968444824,0.8951818943023682,0.9131478071212769,0.892703115940094,0.8578482866287231,0.8613892793655396,0.8979506492614746,0.8806259632110596,0.8569514155387878,0.87416672706604,0.907547116279602,0.8618220090866089,0.8745225667953491,0.9069098234176636,0.8959276676177979,0.8956712484359741,0.8772496581077576,0.8905494213104248,0.8651654720306396,0.8534203767776489,0.8197782039642334,0.8875501155853271,0.8809845447540283,0.8928670883178711,0.899709939956665,0.852055549621582,0.8363902568817139,0.8744078278541565,0.8189774751663208,0.8754208087921143,0.8508620262145996,0.8785827159881592,0.9041513800621033,0.9031792879104614,0.9040440917015076,0.8488970994949341,0.93323814868927,0.9227608442306519,0.8819154500961304
bleve,0.881211519241333,0.8775790929794312,0.9127672910690308,0.8955249786376953,0.8900102972984314,0.8957181572914124,0.9222588539123535,0.9142673015594482,0.8736740350723267,0.8972142934799194,0.934160053730011,0.9221075773239136,0.8941469192504883,0.9197347164154053,0.9146595001220703,0.8741326332092285,0.8770669102668762,0.9035307168960571,0.8913414478302002,0.8728790283203125,0.8843562602996826,0.9188389778137207,0.8801801204681396,0.8807399868965149,0.9156627655029297,0.9092627763748169,0.9121289253234863,0.9127683639526367,0.9026943445205688,0.8868908882141113,0.8741987347602844,0.8310757279396057,0.907016396522522,0.8819328546524048,0.9073132276535034,0.9113879203796387,0.8714127540588379,0.8628467917442322,0.8932654857635498,0.849727213382721,0.8851044774055481,0.8585555553436279,0.8877830505371094,0.9059100151062012,0.9122779369354248,0.9099208116531372,0.8548913598060608,0.9388821125030518,0.9268613457679749,0.8925119638442993
blidge,0.8474459052085876,0.8601799011230469,0.8542677164077759,0.8390268087387085,0.87571120262146,0.8602902293205261,0.871001124382019,0.8549264669418335,0.8319989442825317,0.8561487793922424,0.8732907772064209,0.8620721101760864,0.8514230847358704,0.8649430274963379,0.8672547936439514,0.839830756187439,0.8402310013771057,0.8568054437637329,0.8525292277336121,0.830264687538147,0.8236722946166992,0.869713544845581,0.8471095561981201,0.8613421320915222,0.8601685762405396,0.8545564413070679,0.8660930395126343,0.8660942316055298,0.8618561029434204,0.8364189267158508,0.821829080581665,0.8063821196556091,0.8585770130157471,0.8346184492111206,0.8570605516433716,0.8696509599685669,0.8370498418807983,0.8170379400253296,0.826143741607666,0.8061259984970093,0.8353991508483887,0.8275884389877319,0.8464223146438599,0.8596129417419434,0.8582192063331604,0.8649927973747253,0.8373398184776306,0.8832012414932251,0.8814889192581177,0.8502950668334961
blour,0.8540279865264893,0.8532060384750366,0.8834596872329712,0.8927249312400818,0.8656733632087708,0.8831981420516968,0.8951873183250427,0.883125364780426,0.8710284233093262,0.882611870765686,0.9077088832855225,0.9015766382217407,0.8703699111938477,0.8970441818237305,0.8964220285415649,0.835945188999176,0.8615739345550537,0.8783093094825745,0.8640100955963135,0.8493612408638,0.8728330135345459,0.8944333791732788,0.8636964559555054,0.8622344732284546,0.8819468021392822,0.878214955329895,0.8826079368591309,0.8801241517066956,0.8754544854164124,0.8671844005584717,0.8442788124084473,0.8004534244537354,0.8749064207077026,0.8642367124557495,0.878448486328125,0.8817027807235718,0.8376896977424622,0.8516926765441895,0.8793500661849976,0.8311914205551147,0.8587292432785034,0.8323655724525452,0.8852764368057251,0.879767894744873,0.8882977962493896,0.8916652202606201,0.8407987356185913,0.909896194934845,0.9002234935760498,0.8670206069946289
blurnt,0.8209928274154663,0.8302330374717712,0.8370592594146729,0.8374754190444946,0.8525643348693848,0.8291707038879395,0.8462435007095337,0.8273730278015137,0.8160083889961243,0.8340122699737549,0.8569741249084473,0.8376704454421997,0.8116229772567749,0.8416509032249451,0.8524330854415894,0.8187397122383118,0.8328647017478943,0.8375928997993469,0.8280994892120361,0.814165472984314,0.8238680362701416,0.8448394536972046,0.8337846994400024,0.8533249497413635,0.8508673906326294,0.828386127948761,0.8419125080108643,0.8264497518539429,0.8453384637832642,0.8190610408782959,0.8141385316848755,0.796370267868042,0.8344426155090332,0.8308966159820557,0.8321201801300049,0.8423651456832886,0.7939582467079163,0.7971828579902649,0.8134528398513794,0.8042068481445312,0.8113541603088379,0.8190381526947021,0.8400255441665649,0.8373099565505981,0.840126633644104,0.845158576965332,0.8073475956916809,0.8531312942504883,0.8503985404968262,0.8322961330413818
blusp,0.8929941654205322,0.8890655040740967,0.9124957323074341,0.9123831391334534,0.9170109033584595,0.9113413095474243,0.9340981245040894,0.9090921878814697,0.8793079257011414,0.9190323948860168,0.9481328129768372,0.933157205581665,0.8976064920425415,0.9361062049865723,0.913102924823761,0.8850356936454773,0.8862075805664062,0.9189828634262085,0.900111973285675,0.8850279450416565,0.8859370946884155,0.9285918474197388,0.8930383324623108,0.898651123046875,0.9273927211761475,0.9196666479110718,0.9225932955741882,0.9085618257522583,0.9195595383644104,0.8918478488922119,0.8778759241104126,0.8457425832748413,0.9153541326522827,0.9091693758964539,0.9185307025909424,0.92519211769104,0.8731447458267212,0.8587597608566284,0.8902134895324707,0.8402305245399475,0.904507040977478,0.8837376832962036,0.9012382626533508,0.9207388162612915,0.9219642877578735,0.9272023439407349,0.8688075542449951,0.9471850395202637,0.9428824186325073,0.9070184230804443
boarse,0.8543205857276917,0.8664801120758057,0.8937715888023376,0.8745309114456177,0.8731715679168701,0.8717937469482422,0.888070821762085,0.9013192653656006,0.8607805967330933,0.8681182861328125,0.9026942253112793,0.9003931879997253,0.8754885196685791,0.8920407295227051,0.8820450305938721,0.8516960144042969,0.867156445980072,0.883862316608429,0.8676508665084839,0.8520579934120178,0.8741705417633057,0.8905906677246094,0.8623868823051453,0.8705849647521973,0.8918060064315796,0.8848630785942078,0.8888603448867798,0.8703040480613708,0.8800508975982666,0.8640751838684082,0.8540346622467041,0.8149452209472656,0.8863402605056763,0.8592835664749146,0.8772578239440918,0.8885863423347473,0.8512799143791199,0.8188180327415466,0.8728206157684326,0.7977542281150818,0.8567126989364624,0.8401052951812744,0.8760052919387817,0.8862602710723877,0.898551881313324,0.8997592926025391,0.8476443886756897,0.9154531955718994,0.9062310457229614,0.8681634068489075
broin,0.875884473323822,0.8895746469497681,0.9159183502197266,0.8887970447540283,0.8965191841125488,0.89857417345047,0.9275859594345093,0.8951768279075623,0.8807348012924194,0.9056901335716248,0.9382737278938293,0.9204270243644714,0.8986669778823853,0.9217196106910706,0.9010987281799316,0.8703833818435669,0.8671760559082031,0.9026243686676025,0.8902503252029419,0.8678123950958252,0.8835889101028442,0.9150480031967163,0.8798912763595581,0.8942438960075378,0.9129009246826172,0.9035961627960205,0.9135293364524841,0.88093101978302,0.9086798429489136,0.8833861947059631,0.8679758906364441,0.8401739597320557,0.9021009206771851,0.8819661736488342,0.9142360687255859,0.9209293723106384,0.8596872687339783,0.856709897518158,0.8895865678787231,0.8358756303787231,0.89802086353302,0.8514348864555359,0.8802679777145386,0.904384970664978,0.9044556021690369,0.9154795408248901,0.8645678162574768,0.9443297386169434,0.9317033290863037,0.8850189447402954
brurb,0.8567884564399719,0.8764913082122803,0.8799227476119995,0.8849437832832336,0.8999338150024414,0.8718377351760864,0.8813835382461548,0.8748388886451721,0.8743186593055725,0.8741329312324524,0.8923415541648865,0.8790704011917114,0.8569550514221191,0.8826479911804199,0.8868739604949951,0.8411461710929871,0.8690286874771118,0.8702840805053711,0.856104850769043,0.8473309278488159,0.8578060865402222,0.8809945583343506,0.8674284815788269,0.8732525706291199,0.8748631477355957,0.8608911037445068,0.8771040439605713,0.8511323928833008,0.8720094561576843,0.8586872220039368,0.8550959229469299,0.8286342620849609,0.8627125024795532,0.8674267530441284,0.872592031955719,0.8854944109916687,0.8552900552749634,0.832119345664978,0.863831639289856,0.8101974725723267,0.8567832708358765,0.8557249307632446,0.8770650625228882,0.869144082069397,0.8714019656181335,0.8790701627731323,0.8349066972732544,0.8884626626968384,0.888741135597229,0.8602285981178284
