,angry_Anger,enraged_Anger,irate_Anger,furious_Anger,mad_Anger,outraged_Anger,livid_Anger,infuriate_Anger,wrathful_Anger,disgusted_Disgust,sick_Disgust,nauseated_Disgust,repelled_Disgust,repulsed_Disgust,revolted_Disgust,displeased_Disgust,afraid_Fear,scared_Fear,frightened _Fear,terrified_Fear,fearful_Fear,alarmed_Fear,worried_Fear,spooked_Fear,happy_Joy,delighted_Joy,pleased_Joy,glad_Joy,satisfied_Joy,joyful_Joy,cheerful_Joy,smiling_Joy,thrilled_Joy,unhappy_Sadness,heartbroken_Sadness,depressed_Sadness,miserable_Sadness,melancholy_Sadness,sorrowful_Sadness,gloomy_Sadness,depressing_Sadness,surprised_Surprise,dumfounded_Surprise,amazed_Surprise,astonished_Surprise,astounded_Surprise,wondering_Surprise,awed_Surprise,flabbergasted_Surprise,stunned_Surprise
alse,0.4102171063423157,0.22187286615371704,0.011593583039939404,-0.28876590728759766,-0.2989714741706848,0.2720109820365906,-0.3246937394142151,0.049917250871658325,0.23880229890346527,-0.0034688429441303015,-0.19593322277069092,0.2348930835723877,-0.13965336978435516,-0.042485740035772324,-0.17458607256412506,0.3668449819087982,-0.08493325114250183,-0.410220742225647,-0.06662724912166595,0.01846781000494957,0.000557571416720748,-0.04585957154631615,-0.3562643826007843,-0.17777936160564423,0.13798779249191284,0.17408326268196106,-0.20813828706741333,-0.5780301690101624,-0.175009086728096,0.05175989866256714,0.2280382663011551,0.24144312739372253,-0.11487960070371628,0.13557873666286469,-0.22501252591609955,0.24555286765098572,0.36958596110343933,0.12015171349048615,-0.04785005748271942,-0.048238299787044525,0.3251049220561981,-0.038304612040519714,0.2113165557384491,0.18918147683143616,-0.048244912177324295,0.025284191593527794,0.18960228562355042,0.2921440601348877,-0.4751116633415222,-0.35360172390937805
bange,0.37437063455581665,0.5991964936256409,-0.24090926349163055,-0.45437750220298767,0.19995367527008057,0.2962836027145386,0.15075241029262543,-0.29458296298980713,0.0009283170220442116,-0.04084822162985802,0.07926467806100845,0.3620752692222595,-0.34281930327415466,0.35659685730934143,0.23631614446640015,0.40219348669052124,0.01304649468511343,-0.12081737816333771,0.31698963046073914,0.286112904548645,-0.3802851438522339,-0.04996334761381149,0.001728828065097332,0.23182380199432373,-0.07104866206645966,0.4596939980983734,0.040031980723142624,-0.19798262417316437,0.21879492700099945,-0.1864118129014969,-0.07552026212215424,0.3344346880912781,-0.3261037766933441,-0.15296320617198944,-0.11187717318534851,0.3328556716442108,0.0026998291723430157,-0.015196708030998707,0.09210618585348129,-0.13051505386829376,0.09123068302869797,0.32290205359458923,0.09221059083938599,0.32983988523483276,-0.13904020190238953,-0.18189874291419983,-0.20246291160583496,0.3301612436771393,-0.31306004524230957,-0.147918239235878
bleve,0.29332128167152405,-0.3623913526535034,0.49059024453163147,0.16985070705413818,-0.6888629794120789,0.14373929798603058,-0.5703422427177429,0.634967565536499,0.509255588054657,0.1709221750497818,-0.6395313143730164,-0.2525927424430847,0.024469906464219093,-0.5750917792320251,-0.5437204241752625,-0.003916856832802296,-0.1415662169456482,-0.5410428643226624,-0.598114550113678,-0.32159605622291565,0.3336653709411621,-0.14486253261566162,-0.6361041069030762,-0.6761018633842468,0.39422258734703064,-0.27706006169319153,-0.628547191619873,-0.6549031734466553,-0.6519744992256165,0.5510826706886292,0.5588531494140625,0.01558448001742363,0.19442133605480194,0.40552055835723877,-0.365064799785614,-0.15672752261161804,0.584214448928833,0.3677408993244171,-0.15029320120811462,0.12936997413635254,0.461929589509964,-0.5196130871772766,0.3660910427570343,-0.20210976898670197,-0.04210888594388962,0.2793281376361847,0.5792261958122253,0.06503088027238846,-0.46086734533309937,-0.4583015739917755
blidge,0.2719217836856842,-0.38575536012649536,0.5022075176239014,0.23194237053394318,-0.7249732613563538,0.1649809330701828,-0.5721791982650757,0.6312279105186462,0.5482732653617859,0.1847582906484604,-0.6755311489105225,-0.2923867702484131,0.08231896907091141,-0.5879241228103638,-0.5436083078384399,-0.0017592305084690452,-0.20358417928218842,-0.5943526029586792,-0.6224706768989563,-0.39589983224868774,0.3839602768421173,-0.14270828664302826,-0.6460358500480652,-0.6617057919502258,0.4061223864555359,-0.3028154671192169,-0.6630909442901611,-0.6871054768562317,-0.7021355032920837,0.5293995141983032,0.6106995940208435,0.043709009885787964,0.17013271152973175,0.468581885099411,-0.3160172998905182,-0.20713259279727936,0.5509029030799866,0.39818763732910156,-0.18683366477489471,0.19026227295398712,0.44198179244995117,-0.5129811763763428,0.3599654734134674,-0.24115215241909027,-0.04671185091137886,0.288191020488739,0.6029742360115051,0.033047810196876526,-0.4706329107284546,-0.4435904920101166
blour,0.015713954344391823,-0.4410132169723511,0.3393659293651581,0.3009530007839203,-0.43667134642601013,-0.02273361198604107,-0.3415673077106476,0.49189117550849915,0.29189804196357727,0.1528700292110443,-0.4008621871471405,-0.34333255887031555,0.11189195513725281,-0.5365817546844482,-0.41624531149864197,-0.20195503532886505,-0.010586513206362724,-0.2581217885017395,-0.5695876479148865,-0.2861177325248718,0.28681090474128723,-0.039023272693157196,-0.3587163984775543,-0.5803443789482117,0.2497883141040802,-0.35383498668670654,-0.4518580734729767,-0.2509949207305908,-0.455592542886734,0.44760861992836,0.39556369185447693,-0.19437310099601746,0.2550363838672638,0.26872196793556213,-0.210977241396904,-0.19717969000339508,0.33667463064193726,0.1776534914970398,-0.1490582376718521,0.11878274381160736,0.25063490867614746,-0.5279790163040161,0.1796891987323761,-0.3002857267856598,0.016207817941904068,0.18515470623970032,0.43187007308006287,-0.13785362243652344,-0.18780431151390076,-0.23161515593528748
blurnt,0.20587565004825592,-0.4783385694026947,0.545286238193512,0.2725464999675751,-0.7386806011199951,0.1580270677804947,-0.601502537727356,0.6741088628768921,0.523762583732605,0.23293139040470123,-0.6989813446998596,-0.33271491527557373,0.09482304751873016,-0.6462821364402771,-0.5768928527832031,-0.09360978752374649,-0.14238925278186798,-0.5223499536514282,-0.6834166646003723,-0.3469993472099304,0.43225008249282837,-0.08041486144065857,-0.6197707056999207,-0.7294871807098389,0.41422319412231445,-0.35672226548194885,-0.696075975894928,-0.6342430114746094,-0.7023428678512573,0.5795488953590393,0.6346328258514404,-0.06995829194784164,0.2762906849384308,0.4848043620586395,-0.352123886346817,-0.17981986701488495,0.6082653999328613,0.3471578359603882,-0.18831777572631836,0.15481001138687134,0.48800790309906006,-0.6123030781745911,0.4303797483444214,-0.26993903517723083,0.02282356098294258,0.35479840636253357,0.6566833257675171,0.030338698998093605,-0.41281217336654663,-0.43567606806755066
blusp,0.24159544706344604,-0.38075944781303406,0.45197898149490356,0.19448348879814148,-0.6596179008483887,0.10217778384685516,-0.55923992395401,0.5925823450088501,0.4529692828655243,0.14366064965724945,-0.6180358529090881,-0.2845247983932495,0.030818916857242584,-0.5552061200141907,-0.5169549584388733,0.013898764736950397,-0.1711522489786148,-0.5297240614891052,-0.5670637488365173,-0.35076695680618286,0.31752586364746094,-0.11903213709592819,-0.5847437977790833,-0.6285973191261292,0.33007505536079407,-0.2821063995361328,-0.5839249491691589,-0.622710108757019,-0.6516966819763184,0.4517483711242676,0.5113430619239807,-0.019939562305808067,0.15475066006183624,0.36857298016548157,-0.32976776361465454,-0.23507528007030487,0.5010623931884766,0.31211137771606445,-0.17141012847423553,0.1069258600473404,0.3703427314758301,-0.49687594175338745,0.27181437611579895,-0.24263426661491394,-0.015531628392636776,0.22460463643074036,0.5225118398666382,0.008082649670541286,-0.45561033487319946,-0.4035055935382843
boarse,0.35452669858932495,0.13114695250988007,0.11705738306045532,-0.14487949013710022,-0.2752673029899597,0.27202174067497253,-0.2871743142604828,0.159623384475708,0.2539796829223633,0.04388832300901413,-0.25082021951675415,0.11832528561353683,-0.19160239398479462,-0.09893585741519928,-0.15861837565898895,0.21244873106479645,-0.03311837837100029,-0.3400959372520447,-0.11150209605693817,0.006069853901863098,0.05687415227293968,-0.08030565828084946,-0.33677345514297485,-0.22455359995365143,0.12703832983970642,0.05329336225986481,-0.35859036445617676,-0.5025469064712524,-0.25598329305648804,0.10799204558134079,0.25269219279289246,0.15682193636894226,-0.10093887895345688,0.15222668647766113,-0.19271737337112427,0.12729501724243164,0.42501941323280334,0.12313076108694077,0.02652701549232006,-0.02176227606832981,0.2932637929916382,-0.18270206451416016,0.2204209715127945,0.06527331471443176,-0.07723400741815567,0.022061893716454506,0.18413078784942627,0.17386405169963837,-0.422615110874176,-0.3737652599811554
broin,0.22500941157341003,-0.4116014242172241,0.5166059136390686,0.19560730457305908,-0.7062957286834717,0.19250647723674774,-0.57696133852005,0.6444227695465088,0.46969887614250183,0.1950598955154419,-0.6388819813728333,-0.2664244472980499,0.04780885949730873,-0.5888822674751282,-0.5491802096366882,-0.020893970504403114,-0.16966620087623596,-0.5406697392463684,-0.6596660614013672,-0.33916357159614563,0.36321645975112915,-0.06542766094207764,-0.5730371475219727,-0.6800777912139893,0.41189566254615784,-0.2756672203540802,-0.635316014289856,-0.6272123456001282,-0.6431267261505127,0.5125806927680969,0.6115468740463257,-0.003740995191037655,0.2080768346786499,0.4279972314834595,-0.39178553223609924,-0.14560747146606445,0.5519157648086548,0.30037131905555725,-0.21083930134773254,0.08775228261947632,0.47048962116241455,-0.5525925755500793,0.39425128698349,-0.22920916974544525,0.003174333367496729,0.31252118945121765,0.6494544744491577,0.05401325970888138,-0.3983325660228729,-0.4708770215511322
brurb,0.16529779136180878,0.20045863091945648,-0.03606127202510834,-0.2842922508716583,-0.025354864075779915,0.13774214684963226,-0.0656205490231514,-0.023140687495470047,0.08055471628904343,0.012118258513510227,-0.16291140019893646,0.029052218422293663,-0.24048270285129547,0.026681996881961823,-0.1006457582116127,0.13642644882202148,0.05657316371798515,-0.16232943534851074,-0.060020435601472855,0.03397586569190025,-0.07122756540775299,-0.041395239531993866,-0.17107881605625153,-0.09016712009906769,-0.04223589971661568,0.12865298986434937,-0.1867268830537796,-0.2229636311531067,-0.041090574115514755,-0.03323500603437424,0.0780477449297905,0.02639663778245449,-0.13532595336437225,-0.04410717263817787,-0.06566640734672546,0.18001414835453033,0.059232696890830994,-0.07973715662956238,0.004331592936068773,-0.1362144947052002,0.11776522547006607,-0.023982198908925056,0.22069580852985382,0.022168613970279694,-0.06572755426168442,0.0110141197219491,-0.03097781352698803,0.11278919875621796,-0.3359335660934448,-0.22446370124816895
