Image Generator,Classifier,Type,Sample Size (n),Pearson Correlation (r),95% Confidence Interval,P-value
sd,cranage,madeup,38,0.42665931264354195,[0.12 0.66],0.007556229098172501
sd,cranage,real,40,0.6972970583341067,[0.49 0.83],5.749875569484276e-07
sd,cranage,talking,41,0.5733408296874983,[0.32 0.75],8.918934206338332e-05
sd,ibombSwin,madeup,38,0.4918760230511422,[0.2 0.7],0.0017098933639695148
sd,ibombSwin,real,40,0.5919940078507586,[0.34 0.76],5.72986757015989e-05
sd,ibombSwin,talking,41,0.6242948507348772,[0.39 0.78],1.289498644396883e-05
sd,nateraw,madeup,38,0.37452353391374554,[0.06 0.62],0.020524126374899282
sd,nateraw,real,40,0.6612758689067129,[0.44 0.81],3.3981264015851796e-06
sd,nateraw,talking,41,0.6053883009057396,[0.37 0.77],2.7476074653136638e-05
vqgan,cranage,madeup,38,0.5994473513310351,[0.35 0.77],6.980054982680648e-05
vqgan,cranage,real,40,0.4944267484825031,[0.22 0.7 ],0.0011833316469264368
vqgan,cranage,talking,41,0.20499836162156837,[-0.11  0.48],0.19853310112581243
vqgan,ibombSwin,madeup,38,0.41776551406267215,[0.11 0.65],0.009059268085857978
vqgan,ibombSwin,real,40,0.2573358078598921,[-0.06  0.53],0.10892264838943419
vqgan,ibombSwin,talking,41,0.26743337381149296,[-0.04  0.53],0.09095195403251954
vqgan,nateraw,madeup,38,0.621031810516359,[0.38 0.78],3.1774539434036174e-05
vqgan,nateraw,real,40,0.48799867524637863,[0.21 0.69],0.0014014886345293008
vqgan,nateraw,talking,41,0.43543939384962216,[0.15 0.66],0.004434766447988201
