Image Generator,Classifier,Type,Sample Size (n),Pearson Correlation (r),95% Confidence Interval,P-value,Bayes Factor,Statistical Power
sd,leilab,madeup,60,0.6888442746228965,[0.53 0.8 ],1.1721963638700498e-09,1.114e+07,0.9999960365508616
sd,leilab,real,58,0.9529295986686023,[0.92 0.97],1.0525854383674275e-30,1.711e+27,1.0
sd,leilab,talking,61,0.738742598306041,[0.6  0.84],1.0737491594458673e-11,9.727e+08,0.9999999427958748
sd,rizvan,madeup,60,0.7287179264791327,[0.58 0.83],4.1004003893364184e-11,2.707e+08,0.9999998067211127
sd,rizvan,real,58,0.9466799412744856,[0.91 0.97],3.1770634706901326e-29,6.435e+25,1.0
sd,rizvan,talking,61,0.7479066083987683,[0.61 0.84],4.322484734398144e-12,2.319e+09,0.9999999760285966
sd,rizvan2,madeup,60,0.6307507945201478,[0.45 0.76],6.60156078927396e-08,2.445e+05,0.9998856986321795
sd,rizvan2,real,58,0.9701567324254421,[0.95 0.98],3.804688263324923e-36,2.984e+32,1.0
sd,rizvan2,talking,61,0.6664249709146536,[0.5  0.79],4.563560093981052e-09,3.061e+06,0.9999869663698185
vqgan,leilab,madeup,60,0.5927946999145715,[0.4  0.74],6.028151097657338e-07,3.043e+04,0.999368865179763
vqgan,leilab,real,58,0.9054798857686804,[0.84 0.94],1.6680127133889057e-22,2.205e+19,1.0
vqgan,leilab,talking,61,0.6497852614253342,[0.48 0.77],1.4608772051853721e-08,1.016e+06,0.9999656468958485
vqgan,rizvan,madeup,60,0.5659225505796527,[0.36 0.72],2.4499333874026406e-06,8166.309,0.9982342526839124
vqgan,rizvan,real,58,0.9231743828158995,[0.87 0.95],6.397744845811272e-25,4.642e+21,1.0
vqgan,rizvan,talking,61,0.607996849882082,[0.42 0.75],2.026815745576892e-07,8.462e+04,0.9997208854018316
vqgan,rizvan2,madeup,60,0.5160816654361602,[0.3  0.68],2.437139887896761e-05,959.093,0.991382014345384
vqgan,rizvan2,real,58,0.883863382466338,[0.81 0.93],3.962498591165667e-20,1.15e+17,1.0
vqgan,rizvan2,talking,61,0.5738337610717342,[0.38 0.72],1.3343520478536323e-06,1.438e+04,0.9988520179560116
