Image Generator,Classifier,Type,Sample Size (n),Pearson Correlation (r),95% Confidence Interval,P-value
sd,crangana,madeup,60,0.6867104353151249,[0.52 0.8 ],1.3816977967159559e-09
sd,crangana,real,58,0.9457566636324296,[0.91 0.97],5.074887522599258e-29
sd,crangana,talking,61,0.6915259411540577,[0.53 0.8 ],6.816745782670893e-10
sd,leilab,madeup,60,0.6888442746228967,[0.53 0.8 ],1.1721963638700303e-09
sd,leilab,real,58,0.9529295986686023,[0.92 0.97],1.0525854383674275e-30
sd,leilab,talking,61,0.738742598306041,[0.6  0.84],1.0737491594458673e-11
sd,rizvan,madeup,60,0.7287179264791327,[0.58 0.83],4.1004003893364184e-11
sd,rizvan,real,58,0.9466799412744856,[0.91 0.97],3.1770634706901326e-29
sd,rizvan,talking,61,0.7479066083987683,[0.61 0.84],4.322484734398144e-12
vqgan,crangana,madeup,60,0.5214794005416264,[0.31 0.68],1.933377070187109e-05
vqgan,crangana,real,58,0.8733590159070079,[0.79 0.92],3.871533044758786e-19
vqgan,crangana,talking,61,0.5602862315906834,[0.36 0.71],2.6601543728064233e-06
vqgan,leilab,madeup,60,0.5927946999145716,[0.4  0.74],6.028151097657244e-07
vqgan,leilab,real,58,0.9054798857686804,[0.84 0.94],1.6680127133889057e-22
vqgan,leilab,talking,61,0.6497852614253341,[0.48 0.77],1.4608772051853971e-08
vqgan,rizvan,madeup,60,0.5659225505796528,[0.36 0.72],2.4499333874026076e-06
vqgan,rizvan,real,58,0.9231743828158995,[0.87 0.95],6.397744845811272e-25
vqgan,rizvan,talking,61,0.6079968498820819,[0.42 0.75],2.026815745576892e-07
